origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2025-04-03,30_days,CampaignType,PERFORMANCE_MAX,Revenue,197153.3935,10717.14,134520.34,258323.54,62633.0535,31.7687,37.7679,True
2025-04-03,30_days,CampaignType,PERFORMANCE_MAX,ROAS,8.6389,0.61,7.67,14.73,0.9689,11.2153,11.8815,True
2025-04-03,60_days,CampaignType,PERFORMANCE_MAX,Revenue,392915.1358,52222.32,260433.65,468644.99,132481.4858,33.7176,40.5546,True
2025-04-03,60_days,CampaignType,PERFORMANCE_MAX,ROAS,8.846,1.53,7.65,13.76,1.196,13.5199,14.5001,True
2025-04-03,90_days,CampaignType,PERFORMANCE_MAX,Revenue,476271.6056,106779.99,388990.26,671200.53,87281.3456,18.326,20.1746,True
2025-04-03,90_days,CampaignType,PERFORMANCE_MAX,ROAS,7.8722,2.13,7.75,13.37,0.1222,1.5527,1.5648,True
2025-04-03,30_days,CampaignType,SEARCH,Revenue,96998.6962,20552.79,64838.65,109124.5,32160.0462,33.1551,39.7437,True
2025-04-03,30_days,CampaignType,SEARCH,ROAS,8.9428,2.76,8.72,14.67,0.2228,2.4918,2.5232,True
2025-04-03,60_days,CampaignType,SEARCH,Revenue,170568.2944,52765.9,127245.53,201725.16,43322.7644,25.3991,29.0939,True
2025-04-03,60_days,CampaignType,SEARCH,ROAS,8.8453,3.44,8.31,13.17,0.5353,6.0519,6.2407,True
2025-04-03,90_days,CampaignType,SEARCH,Revenue,195315.3576,90073.15,191023.07,291972.98,4292.2876,2.1976,2.222,True
2025-04-03,90_days,CampaignType,SEARCH,ROAS,7.6284,3.8,8.05,12.31,0.4216,5.5271,5.3785,True
2025-04-03,30_days,CampaignType,SOCIAL,Revenue,109054.61,8052.25,61814.03,115575.82,47240.58,43.3183,55.2946,True
2025-04-03,30_days,CampaignType,SOCIAL,ROAS,17.1941,1.32,10.16,18.99,7.0341,40.91,51.4299,True
2025-04-03,60_days,CampaignType,SOCIAL,Revenue,247405.79,30978.74,121394.93,211811.11,126010.86,50.9329,68.3355,False
2025-04-03,60_days,CampaignType,SOCIAL,ROAS,17.4664,2.54,9.96,17.38,7.5064,42.9764,54.7388,False
2025-04-03,90_days,CampaignType,SOCIAL,Revenue,263585.24,58175.28,180725.65,303276.02,82859.59,31.4356,37.298,True
